Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,
Orlando Magic,23.9,30,25,29,26,0.87,0.28,1.16,113.4,112.6,+0.8,97.7,.298,.363,.574,.536,13.1,26.0,.225,.546,13.6,77.1,.211,Amway Center,493,707,18,949,
Houston Rockets,25.0,24,30,28,26,0.59,0.18,0.77,113.6,113.0,+0.6,98.8,.262,.380,.564,.528,11.4,24.6,.202,.531,12.0,76.9,.223,Toyota Center,490,230,17,508,
Sacramento Kings,26.5,31,23,28,26,0.48,0.47,0.96,117.2,116.7,+0.5,100.1,.239,.440,.589,.564,11.8,23.4,.175,.564,12.4,78.5,.216,Golden 1 Center,429,540,17,898,
Miami Heat,28.2,30,25,28,27,0.20,-0.33,-0.13,113.9,113.7,+0.2,96.9,.266,.390,.577,.535,11.9,22.3,.219,.552,12.8,78.0,.179,Kaseya Center,553,050,19,752,
Los Angeles Lakers,27.9,30,26,28,28,-0.13,0.39,0.27,115.0,115.1,-0.1,101.0,.283,.351,.595,.559,12.3,19.7,.219,.548,11.8,75.9,.162,Crypto.com Arena,528,486,18,906,
Chicago Bulls,28.0,26,29,26,29,-1.15,-0.65,-1.79,114.4,115.6,-1.2,96.2,.237,.366,.568,.533,11.2,24.7,.187,.553,12.9,76.3,.201,United Center,547,394,20,274,
Brooklyn Nets,26.4,21,33,23,31,-2.28,0.50,-1.78,115.3,117.6,-2.3,97.8,.231,.414,.567,.537,11.2,25.4,.175,.547,11.1,75.8,.203,Barclays Center,527,283,17,576,
Atlanta Hawks,26.1,24,31,24,31,-2.56,-0.02,-2.58,118.8,121.3,-2.5,101.4,.269,.408,.580,.539,11.4,28.0,.218,.578,12.3,74.0,.196,State Farm Arena,473,042,16,894,
Utah Jazz,25.8,26,30,24,32,-2.68,0.39,-2.29,116.9,119.6,-2.7,100.0,.255,.409,.584,.544,13.5,29.3,.210,.562,10.8,75.6,.185,Delta Center,473,356,17,532,
Toronto Raptors,26.3,19,36,21,34,-3.89,0.05,-3.84,114.3,118.2,-3.9,98.9,.248,.364,.571,.541,11.9,25.4,.186,.562,12.0,75.2,.174,Scotiabank Arena,529,061,19,595,
Memphis Grizzlies,24.8,20,36,18,38,-5.93,0.86,-5.07,108.0,114.0,-6.0,98.7,.235,.445,.551,.519,13.1,21.7,.179,.548,13.4,75.2,.202,FedEx Forum,447,863,16,588,
San Antonio Spurs,23.2,11,44,14,41,-8.62,0.41,-8.21,109.7,118.2,-8.5,101.5,.221,.400,.559,.527,12.9,22.5,.173,.565,11.9,75.2,.187,Frost Bank Center,472,009,18,154,
Washington Wizards,25.2,9,45,14,40,-9.09,0.00,-9.09,111.3,120.1,-8.8,103.1,.229,.380,.571,.541,12.1,20.1,.176,.563,12.2,71.3,.202,Capital One Arena,433,658,16,679,
Portland Trail Blazers,24.5,15,39,13,41,-8.83,0.73,-8.11,109.1,118.0,-8.9,97.7,.248,.374,.545,.506,13.1,26.1,.197,.560,13.0,73.1,.217,Moda Center,477,210,18,354,
Detroit Pistons,24.0,8,46,14,40,-9.13,0.13,-9.00,111.7,120.7,-9.0,100.5,.247,.347,.568,.534,13.5,25.5,.192,.560,10.6,77.3,.244,Little Caesars Arena,471,579,17,466,
Charlotte Hornets,25.2,13,41,11,43,-10.74,-0.06,-10.80,110.1,121.0,-10.9,98.3,.214,.373,.560,.528,12.4,22.5,.169,.579,12.1,75.8,.205,Spectrum Center,467,773,16,130,
League Average,26.6,27,27,0.00,0.00,0.00,115.9,115.9,99.1,.254,.392,.583,.548,12.1,24.4,.199,.548,12.1,75.6,.199,497,201,18,193,
